Word,Freq,Rank
the,3861,1
and,3350,2
her,2436,3
was,1846,4
she,1333,5
that,1297,6
for,1234,7
not,1212,8
you,1037,9
with,971,10
had,969,11
his,941,12
have,807,13
Elinor,684,14
all,642,15
him,633,16
but,597,17
which,592,18
could,568,19
Marianne,566,20
Mrs,530,21
from,527,22
would,507,23
very,492,24
their,463,25
them,462,26
been,440,27
were,437,28
they,428,29
more,406,30
said,397,31
any,389,32
what,375,33
this,372,34
every,361,35
than,360,36
will,354,37
your,347,38
such,340,39
one,304,40
But,289,41
much,287,42
only,282,43
sister,282,44
must,279,45
own,271,46
Edward,262,47
when,261,48
who,260,49
She,258,50
mother,258,51
herself,255,52
Dashwood,252,53
The,243,54
time,237,55
Jennings,230,56
know,230,57
should,228,58
are,224,59
might,215,60
Willoughby,215,61
did,211,62
now,210,63
there,209,64
think,209,65
Miss,208,66
some,206,67
can,206,68
though,204,69
has,200,70
before,198,71
well,191,72
too,188,73
other,186,74
thing,185,75
Lucy,185,76
never,184,77
how,183,78
after,180,79
soon,180,80
see,173,81
Colonel,173,82
without,171,83
nothing,170,84
may,169,85
ever,169,86
good,166,87
being,164,88
John,163,89
out,161,90
first,160,91
say,160,92
house,159,93
little,158,94
most,152,95
day,150,96
great,149,97
two,145,98
however,145,99
Brandon,144,100
again,143,101
And,141,102
make,140,103
made,138,104
about,135,105
sure,134,106
its,133,107
Ferrars,129,108
You,128,109
heart,127,110
then,126,111
give,126,112
shall,123,113
always,122,114
man,121,115
even,121,116
room,119,117
thought,116,118
into,115,119
himself,114,120
saw,114,121
Sir,113,122
away,112,123
dear,109,124
while,107,125
felt,106,126
myself,103,127
enough,103,128
young,103,129
same,102,130
Middleton,102,131
replied,102,132
last,101,133
over,100,134
long,100,135
moment,99,136
Lady,99,137
left,98,138
many,98,139
mind,98,140
still,97,141
less,96,142
happy,96,143
kind,95,144
come,95,145
therefore,93,146
world,93,147
quite,92,148
both,92,149
seemed,91,150
They,90,151
believe,89,152
came,89,153
Barton,89,154
cannot,89,155
upon,88,156
morning,87,157
cried,87,158
place,87,159
hope,87,160
town,86,161
Her,86,162
nor,85,163
where,84,164
present,84,165
really,83,166
brother,83,167
indeed,83,168
family,83,169
almost,83,170
tell,82,171
till,82,172
like,80,173
affection,79,174
heard,78,175
better,78,176
love,77,177
Palmer,77,178
few,77,179
letter,76,180
down,76,181
way,74,182
another,74,183
rather,73,184
together,73,185
wish,73,186
feelings,73,187
His,72,188
once,72,189
something,71,190
done,71,191
gave,71,192
found,71,193
hear,70,194
person,70,195
least,70,196
spirits,69,197
home,69,198
yet,68,199
subject,68,200
What,68,201
woman,68,202
told,68,203
our,67,204
pleasure,67,205
whom,67,206
far,67,207
just,67,208
between,66,209
whole,66,210
happiness,66,211
feel,66,212
hardly,65,213
behaviour,64,214
against,64,215
look,64,216
opinion,63,217
perhaps,63,218
comfort,63,219
engagement,62,220
friends,62,221
visit,62,222
towards,62,223
speak,61,224
knew,61,225
because,60,226
known,60,227
looked,60,228
three,60,229
since,59,230
others,59,231
This,59,232
brought,58,233
within,58,234
cottage,58,235
life,58,236
going,58,237
attention,58,238
leave,58,239
each,57,240
off,57,241
having,57,242
continued,56,243
short,56,244
side,56,245
manner,56,246
these,56,247
seen,56,248
eyes,56,249
half,55,250
friend,55,251
general,55,252
find,55,253
suppose,55,254
wished,54,255
people,54,256
given,54,257
married,54,258
year,54,259
end,54,260
rest,54,261
situation,54,262
longer,53,263
How,53,264
reason,53,265
Norland,53,266
next,52,267
took,52,268
returned,52,269
passed,52,270
often,52,271
body,52,272
evening,51,273
under,51,274
voice,51,275
ill,50,276
does,50,277
wife,49,278
Well,49,279
here,49,280
regard,49,281
years,49,282
farther,49,283
possible,49,284
certainly,49,285
went,49,286
already,49,287
those,48,288
Fanny,48,289
party,48,290
whose,48,291
part,48,292
sisters,48,293
word,47,294
minutes,47,295
obliged,47,296
thousand,47,297
interest,47,298
matter,47,299
able,46,300
daughter,46,301
doubt,46,302
particular,46,303
else,46,304
determined,46,305
When,45,306
Street,45,307
Yes,45,308
days,45,309
power,45,310
business,45,311
old,44,312
marriage,44,313
neither,44,314
account,44,315
glad,44,316
name,43,317
take,43,318
whether,43,319
entirely,43,320
poor,43,321
put,43,322
called,43,323
husband,43,324
perfectly,43,325
lady,43,326
beyond,42,327
return,42,328
mean,42,329
began,42,330
kindness,42,331
want,42,332
hand,42,333
directly,42,334
pounds,41,335
carriage,41,336
seeing,41,337
child,41,338
added,41,339
That,41,340
talk,40,341
engaged,40,342
entered,40,343
equally,40,344
back,40,345
surprise,40,346
received,39,347
expected,39,348
saying,39,349
hours,38,350
greater,38,351
fortune,38,352
yourself,38,353
real,38,354
spent,38,355
door,38,356
themselves,38,357
giving,38,358
Steele,38,359
point,38,360
means,38,361
through,37,362
settled,37,363
coming,37,364
conduct,37,365
head,37,366
object,37,367
silent,37,368
wonder,37,369
sat,37,370
ask,36,371
live,36,372
months,36,373
dare,36,374
girl,36,375
case,36,376
living,36,377
Margaret,36,378
open,36,379
pretty,36,380
Dashwoods,36,381
night,35,382
arrival,35,383
spite,35,384
call,35,385
appeared,35,386
hour,35,387
son,35,388
spoke,35,389
ready,35,390
London,35,391
common,35,392
impossible,35,393
ought,34,394
week,34,395
character,34,396
Your,34,397
sorry,34,398
either,34,399
Robert,34,400
gone,34,401
manners,34,402
attachment,34,403
four,34,404
children,33,405
care,33,406
country,33,407
set,33,408
ladies,33,409
Their,33,410
answer,33,411
deal,33,412
afterwards,33,413
sake,33,414
nature,32,415
talked,32,416
certain,32,417
There,32,418
invitation,32,419
alone,32,420
silence,32,421
near,32,422
law,32,423
assure,32,424
right,32,425
confidence,31,426
get,31,427
five,31,428
fancy,31,429
different,31,430
sense,31,431
convinced,31,432
keep,31,433
instantly,31,434
former,31,435
whatever,31,436
new,31,437
pleased,31,438
stay,30,439
believed,30,440
father,30,441
Steeles,30,442
course,30,443
table,30,444
natural,30,445
wishes,30,446
full,30,447
park,30,448
wanted,30,449
Delaford,30,450
judgment,30,451
usual,30,452
happened,30,453
small,29,454
walked,29,455
self,29,456
marry,29,457
easily,29,458
doing,29,459
company,29,460
change,29,461
taken,29,462
Lord,29,463
remained,29,464
necessary,29,465
kept,29,466
anxious,29,467
For,28,468
knowledge,28,469
appearance,28,470
Poor,28,471
strong,28,472
drawing,28,473
resolved,28,474
question,28,475
repeated,28,476
future,28,477
feeling,28,478
greatest,28,479
gentleman,28,480
words,28,481
affair,28,482
likely,28,483
considered,27,484
Cleveland,27,485
talking,27,486
declared,27,487
round,27,488
favour,27,489
daughters,27,490
turned,27,491
bed,27,492
expect,27,493
got,27,494
misery,27,495
suffered,27,496
taste,27,497
handsome,27,498
past,27,499
concern,27,500
exactly,27,501
notice,27,502
hearing,27,503
assured,26,504
best,26,505
truth,26,506
distress,26,507
resolution,26,508
satisfied,26,509
likewise,26,510
Devonshire,26,511
let,26,512
occasion,26,513
large,26,514
state,26,515
low,26,516
acquainted,26,517
money,26,518
produced,26,519
fear,26,520
understand,26,521
allow,25,522
face,25,523
fine,25,524
agreeable,25,525
anything,25,526
event,25,527
latter,25,528
otherwise,25,529
advantage,25,530
pain,25,531
why,25,532
surprised,25,533
Had,25,534
meeting,25,535
favourite,25,536
seems,24,537
late,24,538
Why,24,539
dinner,24,540
fixed,24,541
painful,24,542
taking,24,543
forced,24,544
curiosity,24,545
answered,24,546
Perhaps,24,547
Charlotte,24,548
supposed,24,549
proper,24,550
appear,24,551
thoughts,24,552
ten,24,553
met,24,554
joy,24,555
society,24,556
desire,24,557
delight,24,558
idea,24,559
true,23,560
reached,23,561
sometimes,23,562
men,23,563
immediate,23,564
earnest,23,565
scarcely,23,566
serious,23,567
use,23,568
servant,23,569
afraid,23,570
regret,23,571
cold,23,572
After,23,573
income,23,574
worth,23,575
window,23,576
probably,23,577
formed,23,578
tears,23,579
weeks,23,580
effect,23,581
bear,23,582
smile,23,583
making,23,584
things,23,585
promise,22,586
share,22,587
sitting,22,588
meet,22,589
read,22,590
prevent,22,591
danger,22,592
journey,22,593
plan,22,594
strange,22,595
wrong,22,596
respect,22,597
leaving,22,598
knowing,22,599
Did,22,600
merely,22,601
constant,22,602
connection,22,603
easy,22,604
admiration,22,605
asked,22,606
Park,22,607
arrived,21,608
emotion,21,609
mistaken,21,610
hundred,21,611
Not,21,612
sent,21,613
fond,21,614
chance,21,615
disposed,21,616
avoid,21,617
beauty,21,618
view,21,619
conviction,21,620
exertion,21,621
melancholy,21,622
temper,21,623
looking,21,624
meant,21,625
With,21,626
tried,21,627
address,21,628
equal,21,629
speaking,21,630
consider,20,631
soul,20,632
friendship,20,633
above,20,634
forward,20,635
walk,20,636
eager,20,637
used,20,638
times,20,639
compassion,20,640
loss,20,641
eldest,20,642
lived,20,643
inquiry,20,644
unhappy,20,645
seem,20,646
lost,20,647
smallest,20,648
thus,20,649
delighted,20,650
letters,20,651
enjoyment,20,652
elegance,20,653
weather,19,654
staying,19,655
difference,19,656
eye,19,657
